XPATH,VERSION,COUNT
/Return/ReturnData/AffiliatedGroupAttachment,2009v1.7;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.3;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.3;;2019v5.1;;2019v5.2;;2020v4.1;;2020v4.2;;2021v4.2;;2022v5.0,269
/Return/ReturnData/AffiliatedGroupAttachment/Explanation,2009v1.7;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.3,58
/Return/ReturnData/AffiliatedGroupAttachment/MeduimExplanationTxt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.3;;2019v5.1;;2019v5.2;;2020v4.1;;2020v4.2;;2021v4.2;;2022v5.0,202
/Return/ReturnData/AffiliatedGroupSchedule,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,1796
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine1,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/AddressLine2,2009v1.7;;2012v2.1,2
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/City,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/State,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/AddressUS/ZIPCode,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/BusinessName/BusinessNameLine1,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
