xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/State,F9_00_HD_PREPAREUSSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,US Address of Preparer Firm (State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StateType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/Country,F9_00_HD_PREPAREFORCTRY,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Country),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CountryType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/CountryCd,F9_00_HD_PREPAREFORCTRY,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Country),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CountryType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/ProvinceOrState,F9_00_HD_PREPAREFORSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Province or State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/ProvinceOrStateNm,F9_00_HD_PREPAREFORSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Province or State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/State,F9_00_HD_PREPAREUSSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,US Address of Preparer Firm (State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StateType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/StateAbbreviationCd,F9_00_HD_PREPAREUSSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,US Address of Preparer Firm (State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StateType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/PostalCode,F9_00_HD_PREPAREFORPOST,F9_00_PREP_FIRM_ADDR_ZIP,24,Foreign Address of Preparer Firm (Postal Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/ZIPCode,F9_00_HD_PREPAREUSZIP,F9_00_PREP_FIRM_ADDR_ZIP,24,US Address of Preparer Firm (Zip Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,ZIPCodeType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/ForeignPostalCd,F9_00_HD_PREPAREFORPOST,F9_00_PREP_FIRM_ADDR_ZIP,24,Foreign Address of Preparer Firm (Postal Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/PostalCode,F9_00_HD_PREPAREFORPOST,F9_00_PREP_FIRM_ADDR_ZIP,24,Foreign Address of Preparer Firm (Postal Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/ZIPCd,F9_00_HD_PREPAREUSZIP,F9_00_PREP_FIRM_ADDR_ZIP,24,US Address of Preparer Firm (Zip Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,ZIPCodeType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/ZIPCode,F9_00_HD_PREPAREUSZIP,F9_00_PREP_FIRM_ADDR_ZIP,24,US Address of Preparer Firm (Zip Code),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,ZIPCodeType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirm/EIN,F9_00_HD_PREPAREEIN,F9_00_PREP_FIRM_EIN,19,Employer Identification Number of Preparer Firm,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,EINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmEIN,F9_00_HD_PREPAREEIN,F9_00_PREP_FIRM_EIN,19,Employer Identification Number of Preparer Firm,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,EINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmBusinessName/BusinessNameLine1,F9_00_HD_PREPAREFIRM1,F9_00_PREP_FIRM_NAME_L01,24,Paid Preparer Firm Name (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine1,F9_00_HD_PREPAREFIRM1,F9_00_PREP_FIRM_NAME_L01,24,Paid Preparer Firm Name (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine1Txt,F9_00_HD_PREPAREFIRM1,F9_00_PREP_FIRM_NAME_L01,24,Paid Preparer Firm Name (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmBusinessName/BusinessNameLine2,F9_00_HD_PREPAREFIRM2,F9_00_PREP_FIRM_NAME_L02,24,Paid Preparer Firm Name (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine2,F9_00_HD_PREPAREFIRM2,F9_00_PREP_FIRM_NAME_L02,24,Paid Preparer Firm Name (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine2Txt,F9_00_HD_PREPAREFIRM2,F9_00_PREP_FIRM_NAME_L02,24,Paid Preparer Firm Name (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
