xpath,variable_name,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnHeader/Preparer/Phone,F9_02_PREP_PHONE,Paid Preparer Phone,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PhoneNumberType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerPersonGrp/PhoneNum,F9_02_PREP_PHONE,Paid Preparer Phone,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PhoneNumberType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Preparer/PTIN,F9_02_PREP_PTIN,Paid Preparer PTIN,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PTINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerPersonGrp/PTIN,F9_02_PREP_PTIN,Paid Preparer PTIN,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PTINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Preparer/SelfEmployed,F9_02_PREP_SELF_EMPL_X,Indicates that Paid Preparer is Self-Employed,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CheckboxType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerPersonGrp/SelfEmployedInd,F9_02_PREP_SELF_EMPL_X,Indicates that Paid Preparer is Self-Employed,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,CheckboxType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Preparer/DatePrepared,F9_02_PREP_SIGNTR_DATE,Date of Paid Preparer's Signature,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,DateType,date,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerPersonGrp/PreparationDt,F9_02_PREP_SIGNTR_DATE,Date of Paid Preparer's Signature,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,DateType,date,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/BusinessOfficerGrp/PersonNm,F9_02_SIGNING_OFF_NAME,Signing Officer Name,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Officer/Name,F9_02_SIGNING_OFF_NAME,Signing Officer Name,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
